,id,year,name,nrWords,title,author
1000,1000,2010,1004.4170v1,1473,A New Metaheuristic Bat-Inspired Algorithm,Xin-She Yang
1001,1001,2018,1804.09813v2,3957,"HG-means: A scalable hybrid genetic algorithm for minimum sum-of-squares
  clustering",Thibaut Vidal
1002,1002,2012,1207.1794v1,18000,"Design, Evaluation and Analysis of Combinatorial Optimization Heuristic
  Algorithms",Daniel Karapetyan
1003,1003,2011,1106.2686v1,1941,"Automated Software Testing Using Metahurestic Technique Based on An Ant
  Colony Optimization",Km Baby
1004,1004,2014,1407.4364v1,1711,"One-Step or Two-Step Optimization and the Overfitting Phenomenon: A Case
  Study on Time Series Classification",Muhammad Marwan Muhammad Fuad
1005,1005,2017,1711.09369v1,362,"Obtaining the coefficients of a Vector Autoregression Model through
  minimization of parameter criteria",Alberto Pérez-Bernabeu
1006,1006,2013,1303.2215v1,2728,Expensive Optimisation: A Metaheuristics Perspective,Maumita Bhattacharya
1007,1007,2018,1807.06731v1,5237,"The MOEADr Package - A Component-Based Framework for Multiobjective
  Evolutionary Algorithms Based on Decomposition",Claus Aranha
1008,1008,2012,1206.1579v2,1988,"An Efficient Hybrid Ant Colony System for the Generalized Traveling
  Salesman Problem",Daniel Karapetyan
1009,1009,2018,1802.06318v1,4602,"Large Neighborhood-Based Metaheuristic and Branch-and-Price for the
  Pickup and Delivery Problem with Split Loads",Richard Hartl
1010,1010,2015,1504.02590v1,958,"Study of Some Recent Crossovers Effects on Speed and Accuracy of Genetic
  Algorithm, Using Symmetric Travelling Salesman Problem",Kamran Zamanifar
1011,1011,2017,1701.08709v2,2819,Diversification Methods for Zero-One Optimization,Fred Glover
1012,1012,2012,1211.6409v1,1539,"Obesity Heuristic, New Way On Artificial Immune Systems",Magdy Rashad
1013,1013,2019,1903.02079v1,1381,Optimizing Software Effort Estimation Models Using Firefly Algorithm,Rizik M. H. Al-Sayyed
1014,1014,2018,1806.01681v1,2604,"Multi-Cohort Intelligence Algorithm: An Intra- and Inter-group Learning
  Behavior based Socio-inspired Optimization Methodology",Anand J Kulkarni
1015,1015,2015,1511.00195v1,2488,Optimized Mission Planning for Planetary Exploration Rovers,Alexander Lavin
1016,1016,2018,1810.04348v2,5561,"Robust optimization of a broad class of heterogeneous vehicle routing
  problems under demand uncertainty",Chrysanthos E. Gounaris
1017,1017,2014,1404.6696v1,2679,Hybrid Metaheuristics for the Clustered Vehicle Routing Problem,Güneş Erdoǧan
1018,1018,2012,1207.4631v1,2416,"Analyzing the Effect of Objective Correlation on the Efficient Set of
  MNK-Landscapes",Clarisse Dhaenens
1019,1019,2015,1506.00211v1,2667,"A Matheuristic for the Electric Vehicle Routing Problem with Time
  Windows",Stefano Suraci
1020,1020,2014,1401.3794v2,3715,"Large neighborhoods with implicit customer selection for vehicle routing
  problems with profits",Luis Satoru Ochi
1021,1021,2018,1804.02851v2,4689,"Whale swarm algorithm with the mechanism of identifying and escaping
  from extreme point for multimodal function optimization",Haozhen Dong
1022,1022,2018,1802.08729v1,2841,Review: Metaheuristic Search-Based Fuzzy Clustering Algorithms,Ayat Alrosan
1023,1023,2017,1701.09046v1,1996,"An Extremal Optimization approach to parallel resonance constrained
  capacitor placement problem",Fernando J. Von Zuben
1024,1024,2016,1605.05097v1,2174,A tabu search method for the optimisation of fluid power circuits,Derek G. Tilley
1025,1025,2017,1705.09545v1,4372,"Logical and Inequality Implications for Reducing the Size and Complexity
  of Quadratic Unconstrained Binary Optimization Problems",Gary Kochenberger
1026,1026,2018,1903.01885v1,4150,"Evolutionary framework for two-stage stochastic resource allocation
  problems",Fábio L. Usberti
1027,1027,2017,1702.05577v1,1865,"A Statistical Comparison of Objective Functions for the Vehicle Routing
  Problem with Route Balancing",Philippe Lacomme
1028,1028,2013,1305.3794v2,1334,"Evolution of Covariance Functions for Gaussian Process Regression using
  Genetic Programming",Michael Kommenda
1029,1029,2019,1903.01236v1,3156,"A hybrid Benders decomposition and bees algorithm matheuristic approach
  to transmission expansion planning considering energy storage",Andreas T. Ernst
1030,1030,2008,0809.0961v1,669,MOOPPS: An Optimization System for Multi Objective Scheduling,Martin Josef Geiger
1031,1031,2017,1710.09300v1,2010,"Feature learning in feature-sample networks using multi-objective
  optimization",Liang Zhao
1032,1032,2018,1804.05429v1,3304,"Gnowee: A Hybrid Metaheuristic Optimization Algorithm for Constrained,
  Black Box, Combinatorial Mixed-Integer Design",Rachel Slaybaugh
1033,1033,2010,1003.1594v1,1302,Cuckoo Search via Levy Flights,Suash Deb
1034,1034,2017,1709.08902v3,3308,A New Cooperative Framework for Parallel Trajectory-Based Metaheuristics,Qingfu Zhang
1035,1035,2019,1901.05680v1,1866,"Szenario-Optimierung für die Absicherung von automatisierten und
  autonomen Fahrsystemen",Bernd Holzmüller
1036,1036,2008,0809.0406v1,1624,Foundations of the Pareto Iterated Local Search Metaheuristic,Martin Josef Geiger
1037,1037,2016,1602.07884v1,1565,"Firefly Algorithm for optimization problems with non-continuous
  variables: A Review and Analysis",Jean Medard T Ngnotchouye
1038,1038,2018,1808.02185v1,3262,Round-Table Group Optimization for Sequencing Problems,Xiao-Feng Xie
1039,1039,2012,1204.4051v1,394,"Solution Representations and Local Search for the bi-objective Inventory
  Routing Problem",Marc Sevaux
1040,1040,2013,1306.6375v1,1523,Metaheuristics in Flood Disaster Management and Risk Assessment,Charlymagne R. Aquino
1041,1041,2019,1902.00107v1,4302,Parallel Black-Box Complexity with Tail Bounds,Dirk Sudholt
1042,1042,2017,1703.07929v1,1918,Diversification-Based Learning in Computing and Optimization,Jin-Kao Hao
1043,1043,2014,1401.3464v1,217,"Learning Bayesian Network Equivalence Classes with Ant Colony
  Optimization",Qiang Shen
1044,1044,2013,1303.6336v1,1885,Multiobjective Firefly Algorithm for Continuous Optimization,Xin-She Yang
1045,1045,2015,1511.06248v1,1895,Critical Parameters in Particle Swarm Optimisation,Thomas Joyce
1046,1046,2018,1805.11259v2,4769,"Statistical mechanical analysis of sparse linear regression as a
  variable selection problem",Yoshiyuki Kabashima
1047,1047,2018,1808.08429v1,1105,Driven tabu search: a quantum inherent optimisation,Marcus S. Dahlem
1048,1048,2010,1003.1599v2,3031,Harmony Search as a Metaheuristic Algorithm,Xin-She Yang
1049,1049,2016,1606.02710v1,2596,A Modified Vortex Search Algorithm for Numerical Function Optimization,Berat Doğan
1050,1050,2010,1009.0425v1,3764,"Optimization Framework and Graph-Based Approach for Relay-Assisted
  Bidirectional OFDMA Cellular Networks",Hui Shen
1051,1051,2015,1502.00195v1,2428,"Sensor Deployment for Air Pollution Monitoring Using Public
  Transportation System",Albert Y. S. Lam
1052,1052,2011,1105.3668v1,2599,Review of Metaheuristics and Generalized Evolutionary Walk Algorithm,Xin-She Yang
1053,1053,2008,0804.3965v2,5658,"Metaheuristics and Their Hybridization to Solve the Bi-objective Ring
  Star Problem: a Comparative Study",El-Ghazali Talbi
1054,1054,2018,1809.09895v2,1981,"PeSOA: Penguins Search Optimisation Algorithm for Global Optimisation
  Problems",Smaine Maazouzi
1055,1055,2016,1605.02669v2,5293,The GPU-based Parallel Ant Colony System,Rafał Skinderowicz
1056,1056,2014,1401.0858v1,2331,Multimodal Optimization by Sparkling Squid Populations,Videh Seksaria
1057,1057,2013,1304.4051v1,2558,Coordinating metaheuristic agents with swarm intelligence,Mehmet Emin Aydin
1058,1058,2018,1809.02437v1,4335,"A Largest Empty Hypersphere Metaheuristic for Robust Optimisation with
  Implementation Uncertainty",Michael Wright
1059,1059,2013,1312.4078v1,1593,"A natural-inspired optimization machine based on the annual migration of
  salmons in nature",Alireza Fathi
1060,1060,2010,1007.4063v1,3679,"The multiobjective multidimensional knapsack problem: a survey and a new
  approach",Jacques Teghem
1061,1061,2013,1308.2920v1,1045,As-puma ; anycast semantics in parking using metaheuristic approach,Rahul Johari
1062,1062,2013,1308.2307v1,1700,"Finite Element Model Updating Using Fish School Search Optimization
  Method",F. De Lima Neto
1063,1063,2013,1306.0090v1,1732,Harmony search algorithm for the container storage problem,Lacs Ecole Nationale des Ingenieurs de Tunis
1064,1064,2014,1403.2541v1,3868,"Turing: Then, Now and Still Key",Kieran Greer
1065,1065,2019,1903.02915v1,3464,"jMetalPy: a Python Framework for Multi-Objective Optimization with
  Metaheuristics",Javier Del Ser
1066,1066,2015,1502.00194v1,1957,"Real-Coded Chemical Reaction Optimization with Different Perturbation
  Functions",Victor O. K. Li
1067,1067,2018,1807.00566v1,912,On the minimum quartet tree cost problem,Steffen Pauws
1068,1068,2017,1702.05710v1,809,"Polynomial Time Efficient Construction Heuristics for Vertex Separation
  Minimization Problem",Kamal Srivastava
1069,1069,2011,1105.2894v2,2185,Ant Colony Optimization and Hypergraph Covering Problems,Ashish Ranjan Hota
1070,1070,2018,1901.00408v1,2213,"Improvement of Identification Procedure Using Hybrid Cuckoo Search
  Algorithm for TurbineGovernor and Excitation System",G. B. Gharehpetian
1071,1071,2019,1902.08001v1,3222,"Mitigating Metaphors: A Comprehensible Guide to Recent Nature-Inspired
  Algorithms",Michael Adam Lones
1072,1072,2009,0909.3384v1,3197,"Comparing Single and Multiobjective Evolutionary Approaches to the
  Inventory and Transportation Problem",Ken Sharman
1073,1073,2017,1706.06646v1,10447,"Multi-objective, Decentralized Dynamic Virtual Machine Consolidation
  using ACO Metaheuristic in Computing Clouds",Rajkumar Buyya
1074,1074,2013,1311.4987v1,3219,Analyzing Evolutionary Optimization in Noisy Environments,Zhi-Hua Zhou
1075,1075,2012,1212.5095v1,987,"Modelling of Optimal Design of Manufacturing Cell Layout Considering
  Material Flow and Closeness Rating Factors",P. K. Dan
1076,1076,2009,0907.2993v1,1578,"Improvements for multi-objective flow shop scheduling by Pareto Iterated
  Local Search",Martin Josef Geiger
1077,1077,2008,0809.0757v1,1923,"An application of the Threshold Accepting metaheuristic for curriculum
  based course timetabling",Martin Josef Geiger
1078,1078,2016,1602.05028v2,2833,Symmetry Breaking Predicates for SAT-based DFA Identification,Anatoly Shalyto
1079,1079,2014,1408.5348v1,1572,Bat Algorithm is Better Than Intermittent Search Strategy,Simon Fong
